updateDate,code,code_name
2021-03-29,sz.000967,盈峰环境
2021-03-29,sz.000970,中科三环
2021-03-29,sz.000975,银泰黄金
2021-03-29,sz.000983,山西焦煤
2021-03-29,sz.000988,华工科技
2021-03-29,sz.000990,诚志股份
2021-03-29,sz.000997,新大陆
2021-03-29,sz.000998,隆平高科
2021-03-29,sz.000999,华润三九
2021-03-29,sz.001872,招商港口
2021-03-29,sz.001914,招商积余
2021-03-29,sz.002002,鸿达兴业
2021-03-29,sz.002004,华邦健康
2021-03-29,sz.002010,传化智联
2021-03-29,sz.002013,中航机电
2021-03-29,sz.002019,亿帆医药
2021-03-29,sz.002028,思源电气
2021-03-29,sz.002030,达安基因
2021-03-29,sz.002038,双鹭药业
2021-03-29,sz.002048,宁波华翔
2021-03-29,sz.002051,中工国际
2021-03-29,sz.002056,横店东磁
2021-03-29,sz.002064,华峰化学
2021-03-29,sz.002074,国轩高科
2021-03-29,sz.002075,沙钢股份
2021-03-29,sz.002078,太阳纸业
2021-03-29,sz.002080,中材科技
2021-03-29,sz.002081,金螳螂
2021-03-29,sz.002085,万丰奥威
2021-03-29,sz.002092,中泰化学
2021-03-29,sz.002093,国脉科技
2021-03-29,sz.002110,三钢闽光
2021-03-29,sz.002124,天邦股份
2021-03-29,sz.002128,露天煤业
2021-03-29,sz.002131,利欧股份
2021-03-29,sz.002138,顺络电子
2021-03-29,sz.002152,广电运通
2021-03-29,sz.002155,湖南黄金
2021-03-29,sz.002156,通富微电
2021-03-29,sz.002174,游族网络
2021-03-29,sz.002183,怡亚通
2021-03-29,sz.002185,华天科技
2021-03-29,sz.002191,劲嘉股份
2021-03-29,sz.002195,二三四五
2021-03-29,sz.002203,海亮股份
2021-03-29,sz.002212,天融信
2021-03-29,sz.002217,合力泰
2021-03-29,sz.002221,东华能源
2021-03-29,sz.002223,鱼跃医疗
2021-03-29,sz.002233,塔牌集团
2021-03-29,sz.002242,九阳股份
2021-03-29,sz.002244,滨江集团
2021-03-29,sz.002249,大洋电机
2021-03-29,sz.002250,联化科技
2021-03-29,sz.002266,浙富控股
2021-03-29,sz.002268,卫士通
2021-03-29,sz.002273,水晶光电
2021-03-29,sz.002281,光迅科技
2021-03-29,sz.002294,信立泰
2021-03-29,sz.002299,圣农发展
2021-03-29,sz.002302,西部建设
2021-03-29,sz.002317,众生药业
2021-03-29,sz.002340,格林美
2021-03-29,sz.002353,杰瑞股份
2021-03-29,sz.002368,太极股份
2021-03-29,sz.002372,伟星新材
2021-03-29,sz.002373,千方科技
2021-03-29,sz.002375,亚厦股份
2021-03-29,sz.002382,蓝帆医疗
2021-03-29,sz.002385,大北农
2021-03-29,sz.002387,维信诺
2021-03-29,sz.002390,信邦制药
2021-03-29,sz.002396,星网锐捷
2021-03-29,sz.002399,海普瑞
2021-03-29,sz.002408,齐翔腾达
2021-03-29,sz.002416,爱施德
2021-03-29,sz.002419,天虹股份
2021-03-29,sz.002423,中粮资本
2021-03-29,sz.002424,贵州百灵
2021-03-29,sz.002429,兆驰股份
2021-03-29,sz.002434,万里扬
2021-03-29,sz.002440,闰土股份
2021-03-29,sz.002444,巨星科技
2021-03-29,sz.002458,益生股份
2021-03-29,sz.002465,海格通信
2021-03-29,sz.002468,申通快递
2021-03-29,sz.002500,山西证券
2021-03-29,sz.002503,搜于特
2021-03-29,sz.002505,鹏都农牧
2021-03-29,sz.002506,协鑫集成
2021-03-29,sz.002507,涪陵榨菜
2021-03-29,sz.002511,中顺洁柔
2021-03-29,sz.002544,杰赛科技
2021-03-29,sz.002557,洽洽食品
2021-03-29,sz.002563,森马服饰
2021-03-29,sz.002568,百润股份
2021-03-29,sz.002572,索菲亚
2021-03-29,sz.002583,海能达
2021-03-29,sz.002589,瑞康医药
2021-03-29,sz.002595,豪迈科技
2021-03-29,sz.002603,以岭药业
2021-03-29,sz.002625,光启技术
2021-03-29,sz.002635,安洁科技
2021-03-29,sz.002640,跨境通
2021-03-29,sz.002648,卫星石化
2021-03-29,sz.002653,海思科
2021-03-29,sz.002670,国盛金控
2021-03-29,sz.002683,宏大爆破
2021-03-29,sz.002690,美亚光电
2021-03-29,sz.002701,奥瑞金
2021-03-29,sz.002705,新宝股份
2021-03-29,sz.002709,天赐材料
2021-03-29,sz.002745,木林森
2021-03-29,sz.002791,坚朗五金
2021-03-29,sz.002797,第一创业
2021-03-29,sz.002807,江阴银行
2021-03-29,sz.002815,崇达技术
2021-03-29,sz.002818,富森美
2021-03-29,sz.002831,裕同科技
2021-03-29,sz.002839,张家港行
2021-03-29,sz.002867,周大生
2021-03-29,sz.002901,大博医疗
2021-03-29,sz.002920,德赛西威
2021-03-29,sz.002925,盈趣科技
2021-03-29,sz.002926,华西证券
2021-03-29,sz.002936,郑州银行
2021-03-29,sz.002941,新疆交建
2021-03-29,sz.002946,新乳业
2021-03-29,sz.002948,青岛银行
2021-03-29,sz.002957,科瑞技术
2021-03-29,sz.002966,苏州银行
2021-03-29,sz.002985,北摩高科
2021-03-29,sz.300001,特锐德
2021-03-29,sz.300002,神州泰岳
2021-03-29,sz.300009,安科生物
2021-03-29,sz.300010,豆神教育
2021-03-29,sz.300012,华测检测
2021-03-29,sz.300017,网宿科技
2021-03-29,sz.300024,机器人
2021-03-29,sz.300026,红日药业
